<block:absentbydesign:fence_log_acacia>, Acacia Log Fence
<block:futuremc:blue_ice>, Blue Ice
<block:futuremc:brick_wall>, Brick Wall
<block:futuremc:campfire>, Campfire
<block:futuremc:cartography_table>, Cartography Table
<block:futuremc:chain>, Chain
<block:futuremc:composter>, Composter
<block:futuremc:cornflower>, Cornflower
<block:futuremc:dark_oak_standing_sign>, tile.futuremc.dark_oak_standing_sign.name
<block:futuremc:dark_oak_trapdoor>, Dark Oak Trapdoor
<block:futuremc:dark_oak_wall_sign>, tile.futuremc.dark_oak_wall_sign.name
<block:futuremc:dark_oak_wood>, Dark Oak Wood
<block:futuremc:diorite_wall>, Diorite Wall
<block:futuremc:end_stone_brick_wall>, End Stone Brick Wall
<block:futuremc:fletching_table>, Fletching Table
<block:futuremc:granite_wall>, Granite Wall
<block:futuremc:grindstone>, Grindstone
<block:futuremc:honey_block>, Honey Block
<block:futuremc:honeycomb_block>, Honeycomb Block
<block:futuremc:jungle_standing_sign>, tile.futuremc.jungle_standing_sign.name
<block:futuremc:jungle_trapdoor>, Jungle Trapdoor
<block:futuremc:jungle_wall_sign>, tile.futuremc.jungle_wall_sign.name
<block:futuremc:jungle_wood>, Jungle Wood
<block:futuremc:lantern>, Lantern
<block:futuremc:lily_of_the_valley>, Lily of the Valley
<block:futuremc:loom>, Loom
<block:futuremc:mossy_stone_brick_wall>, Mossy Stone Brick Wall
<block:futuremc:nether_brick_wall>, Nether Brick Wall
<block:futuremc:netherite_block>, Netherite Block
<block:futuremc:oak_wood>, Oak Wood
<block:futuremc:prismarine_wall>, Prismarine Wall
<block:futuremc:red_nether_brick_wall>, Red Nether Brick Wall
<block:futuremc:red_sandstone_wall>, Red Sandstone Wall
<block:futuremc:sandstone_wall>, Sandstone Wall
<block:futuremc:scaffolding>, Scaffolding
<block:futuremc:smithing_table>, Smithing Table
<block:futuremc:smoker>, Smoker
<block:futuremc:smooth_quartz>, Smooth Quartz
<block:futuremc:smooth_red_sandstone>, Smooth Red Sandstone
<block:futuremc:smooth_sandstone>, Smooth Sandstone
<block:futuremc:smooth_stone>, Smooth Stone
<block:futuremc:soul_fire_lantern>, Soul Lantern
<block:futuremc:soul_fire_torch>, Soul Torch
<block:futuremc:soul_soil>, Soul Soil
<block:futuremc:spruce_standing_sign>, tile.futuremc.spruce_standing_sign.name
<block:futuremc:spruce_trapdoor>, Spruce Trapdoor
<block:futuremc:spruce_wall_sign>, tile.futuremc.spruce_wall_sign.name
<block:futuremc:spruce_wood>, Spruce Wood
<block:futuremc:stone_brick_wall>, Stone Brick Wall
<block:futuremc:stonecutter>, Stonecutter
<block:futuremc:stripped_acacia_log>, Stripped Acacia Log
<block:futuremc:stripped_acacia_wood>, Stripped Acacia Wood
<block:futuremc:stripped_birch_log>, Stripped Birch Log
<block:futuremc:stripped_birch_wood>, Stripped Birch Wood
<block:futuremc:stripped_dark_oak_log>, Stripped Dark Oak Log
<block:futuremc:stripped_dark_oak_wood>, Stripped Dark Oak Wood
<block:futuremc:stripped_jungle_log>, Stripped Jungle Log
<block:futuremc:stripped_jungle_wood>, Stripped Jungle Wood
<block:futuremc:stripped_oak_log>, Stripped Oak Log
<block:futuremc:stripped_oak_wood>, Stripped Oak Wood
<block:futuremc:stripped_spruce_log>, Stripped Spruce Log
<block:futuremc:stripped_spruce_wood>, Stripped Spruce Wood
<block:futuremc:sweet_berry_bush>, Sweet Berry Bush
<block:futuremc:wither_rose>, Wither Rose
<block:hammercore:diamond_bordered_cobblestone>, Diamond-Bordered Cobblestone
<block:hammercore:emerald_bordered_cobblestone>, Emerald-Bordered Cobblestone
<block:hammercore:gold_bordered_cobblestone>, Gold-Bordered Cobblestone
<block:hammercore:iron_bordered_cobblestone>, Iron-Bordered Cobblestone
<block:hammercore:lying_item>, tile.hammercore:lying_item.name
<block:hammercore:multipart>, tile.hammercore:multipart.name
<block:hammercore:quartz_bordered_cobblestone>, Quartz-Bordered Cobblestone
<block:harvestcraft:almond_sapling>, Almond Sapling
<block:harvestcraft:apiary>, Apiary
<block:harvestcraft:apple_sapling>, Apple Sapling
<block:harvestcraft:apricot_sapling>, Apricot Sapling
<block:harvestcraft:aridgarden>, Arid Garden
<block:harvestcraft:avocado_sapling>, Avocado Sapling
<block:harvestcraft:banana_sapling>, Banana Sapling
<block:harvestcraft:beehive>, Beehive
<block:harvestcraft:breadfruit_sapling>, Breadfruit Sapling
<block:harvestcraft:candledeco1>, White Candle
<block:harvestcraft:candledeco10>, Cyan Candle
<block:harvestcraft:candledeco11>, Purple Candle
<block:harvestcraft:candledeco12>, Blue Candle
<block:harvestcraft:candledeco13>, Brown Candle
<block:harvestcraft:candledeco14>, Green Candle
<block:harvestcraft:candledeco15>, Red Candle
<block:harvestcraft:candledeco16>, Black Candle
<block:harvestcraft:candledeco2>, Orange Candle
<block:harvestcraft:candledeco3>, Magenta Candle
<block:harvestcraft:candledeco4>, Light Blue Candle
<block:harvestcraft:candledeco5>, Yellow Candle
<block:harvestcraft:candledeco6>, Lime Candle
<block:harvestcraft:candledeco7>, Pink Candle
<block:harvestcraft:candledeco8>, Dark Grey Candle
<block:harvestcraft:candledeco9>, Light Grey Candle
<block:harvestcraft:carrotcake>, Carrot Cake
<block:harvestcraft:cashew_sapling>, Cashew Sapling
<block:harvestcraft:cheesecake>, Cheese Cake
<block:harvestcraft:cherry_sapling>, Cherry Sapling
<block:harvestcraft:cherrycheesecake>, Cherry Cheese Cake
<block:harvestcraft:chestnut_sapling>, Chestnut Sapling
<block:harvestcraft:chocolatesprinklecake>, Chocolate Sprinkles Cake
<block:harvestcraft:cinnamon_sapling>, Cinnamon Sapling
<block:harvestcraft:coconut_sapling>, Coconut Sapling
<block:harvestcraft:date_sapling>, Date Sapling
<block:harvestcraft:dragonfruit_sapling>, Dragonfruit Sapling
<block:harvestcraft:durian_sapling>, Durian Sapling
<block:harvestcraft:fig_sapling>, Fig Sapling
<block:harvestcraft:frostgarden>, Frost Garden
<block:harvestcraft:gooseberry_sapling>, Gooseberry Sapling
<block:harvestcraft:grapefruit_sapling>, Grapefruit Sapling
<block:harvestcraft:grinder>, Grinder
<block:harvestcraft:groundtrap>, Ground Trap
<block:harvestcraft:guava_sapling>, Guava Sapling
<block:harvestcraft:hazelnut_sapling>, Hazelnut Sapling
<block:harvestcraft:holidaycake>, Holiday Cake
<block:harvestcraft:honey>, Honey Block
<block:harvestcraft:honeycomb>, Honeycomb Block
<block:harvestcraft:jackfruit_sapling>, Jackfruit Sapling
<block:harvestcraft:lamingtoncake>, Lamington
<block:harvestcraft:lemon_sapling>, Lemon Sapling
<block:harvestcraft:lime_sapling>, Lime Sapling
<block:harvestcraft:lychee_sapling>, Lychee Sapling
<block:harvestcraft:mango_sapling>, Mango Sapling
<block:harvestcraft:maple_sapling>, Maple Sapling
<block:harvestcraft:market>, Market
<block:harvestcraft:nutmeg_sapling>, Nutmeg Sapling
<block:harvestcraft:olive_sapling>, Olive Sapling
<block:harvestcraft:orange_sapling>, Orange Sapling
<block:harvestcraft:pamagavecrop>, tile.pamagavecrop.name
<block:harvestcraft:pamalmond>, Almond
<block:harvestcraft:pamamaranthcrop>, tile.pamamaranthcrop.name
<block:harvestcraft:pamapple>, Apple
<block:harvestcraft:pamapricot>, Apricot
<block:harvestcraft:pamarrowrootcrop>, tile.pamarrowrootcrop.name
<block:harvestcraft:pamartichokecrop>, tile.pamartichokecrop.name
<block:harvestcraft:pamasparaguscrop>, tile.pamasparaguscrop.name
<block:harvestcraft:pamavocado>, Avocado
<block:harvestcraft:pambambooshootcrop>, tile.pambambooshootcrop.name
<block:harvestcraft:pambanana>, Banana
<block:harvestcraft:pambarleycrop>, tile.pambarleycrop.name
<block:harvestcraft:pambeancrop>, tile.pambeancrop.name
<block:harvestcraft:pambeetcrop>, tile.pambeetcrop.name
<block:harvestcraft:pambellpeppercrop>, tile.pambellpeppercrop.name
<block:harvestcraft:pamblackberrycrop>, tile.pamblackberrycrop.name
<block:harvestcraft:pamblueberrycrop>, tile.pamblueberrycrop.name
<block:harvestcraft:pambreadfruit>, Breadfruit
<block:harvestcraft:pambroccolicrop>, tile.pambroccolicrop.name
<block:harvestcraft:pambrusselsproutcrop>, tile.pambrusselsproutcrop.name
<block:harvestcraft:pamcabbagecrop>, tile.pamcabbagecrop.name
<block:harvestcraft:pamcactusfruitcrop>, tile.pamcactusfruitcrop.name
<block:harvestcraft:pamcandleberrycrop>, tile.pamcandleberrycrop.name
<block:harvestcraft:pamcantaloupecrop>, tile.pamcantaloupecrop.name
<block:harvestcraft:pamcashew>, Cashew
<block:harvestcraft:pamcassavacrop>, tile.pamcassavacrop.name
<block:harvestcraft:pamcauliflowercrop>, tile.pamcauliflowercrop.name
<block:harvestcraft:pamcelerycrop>, tile.pamcelerycrop.name
<block:harvestcraft:pamcherry>, Cherry
<block:harvestcraft:pamchestnut>, Chestnut
<block:harvestcraft:pamchickpeacrop>, tile.pamchickpeacrop.name
<block:harvestcraft:pamchilipeppercrop>, tile.pamchilipeppercrop.name
<block:harvestcraft:pamcinnamon>, Cinnamon Wood
<block:harvestcraft:pamcoconut>, Coconut
<block:harvestcraft:pamcoffeebeancrop>, tile.pamcoffeebeancrop.name
<block:harvestcraft:pamcorncrop>, tile.pamcorncrop.name
<block:harvestcraft:pamcottoncrop>, tile.pamcottoncrop.name
<block:harvestcraft:pamcranberrycrop>, tile.pamcranberrycrop.name
<block:harvestcraft:pamcucumbercrop>, tile.pamcucumbercrop.name
<block:harvestcraft:pamcurryleafcrop>, tile.pamcurryleafcrop.name
<block:harvestcraft:pamdate>, Date
<block:harvestcraft:pamdragonfruit>, Dragonfruit
<block:harvestcraft:pamdurian>, Durian
<block:harvestcraft:pameggplantcrop>, tile.pameggplantcrop.name
<block:harvestcraft:pamelderberrycrop>, tile.pamelderberrycrop.name
<block:harvestcraft:pamfig>, Fig
<block:harvestcraft:pamflaxcrop>, tile.pamflaxcrop.name
<block:harvestcraft:pamgarliccrop>, tile.pamgarliccrop.name
<block:harvestcraft:pamgigapicklecrop>, tile.pamgigapicklecrop.name
<block:harvestcraft:pamgingercrop>, tile.pamgingercrop.name
<block:harvestcraft:pamgooseberry>, Gooseberry
<block:harvestcraft:pamgrapecrop>, tile.pamgrapecrop.name
<block:harvestcraft:pamgrapefruit>, Grapefruit
<block:harvestcraft:pamgreengrapecrop>, tile.pamgreengrapecrop.name
<block:harvestcraft:pamguava>, Guava
<block:harvestcraft:pamhazelnut>, Hazelnut
<block:harvestcraft:pamhuckleberrycrop>, tile.pamhuckleberrycrop.name
<block:harvestcraft:pamjackfruit>, Jackfruit
<block:harvestcraft:pamjicamacrop>, tile.pamjicamacrop.name
<block:harvestcraft:pamjuniperberrycrop>, tile.pamjuniperberrycrop.name
<block:harvestcraft:pamjutecrop>, tile.pamjutecrop.name
<block:harvestcraft:pamkalecrop>, tile.pamkalecrop.name
<block:harvestcraft:pamkenafcrop>, tile.pamkenafcrop.name
<block:harvestcraft:pamkiwicrop>, tile.pamkiwicrop.name
<block:harvestcraft:pamkohlrabicrop>, tile.pamkohlrabicrop.name
<block:harvestcraft:pamleekcrop>, tile.pamleekcrop.name
<block:harvestcraft:pamlemon>, Lemon
<block:harvestcraft:pamlentilcrop>, tile.pamlentilcrop.name
<block:harvestcraft:pamlettucecrop>, tile.pamlettucecrop.name
<block:harvestcraft:pamlime>, Lime
<block:harvestcraft:pamlychee>, Lychee
<block:harvestcraft:pammango>, Mango
<block:harvestcraft:pammaple>, Maple Wood
<block:harvestcraft:pammilletcrop>, tile.pammilletcrop.name
<block:harvestcraft:pammulberrycrop>, tile.pammulberrycrop.name
<block:harvestcraft:pammustardseedscrop>, tile.pammustardseedscrop.name
<block:harvestcraft:pamnutmeg>, Nutmeg
<block:harvestcraft:pamoatscrop>, tile.pamoatscrop.name
<block:harvestcraft:pamokracrop>, tile.pamokracrop.name
<block:harvestcraft:pamolive>, Olive
<block:harvestcraft:pamonioncrop>, tile.pamonioncrop.name
<block:harvestcraft:pamorange>, Orange
<block:harvestcraft:pampapaya>, Papaya
<block:harvestcraft:pampaperbark>, Paperbark Wood
<block:harvestcraft:pamparsnipcrop>, tile.pamparsnipcrop.name
<block:harvestcraft:pampassionfruit>, Passionfruit
<block:harvestcraft:pampawpaw>, Pawpaw
<block:harvestcraft:pampeach>, Peach
<block:harvestcraft:pampeanutcrop>, tile.pampeanutcrop.name
<block:harvestcraft:pampear>, Pear
<block:harvestcraft:pampeascrop>, tile.pampeascrop.name
<block:harvestcraft:pampecan>, Pecan
<block:harvestcraft:pampeppercorn>, Peppercorn
<block:harvestcraft:pampersimmon>, Persimmon
<block:harvestcraft:pampineapplecrop>, tile.pampineapplecrop.name
<block:harvestcraft:pampistachio>, Pistachio
<block:harvestcraft:pamplum>, Plum
<block:harvestcraft:pampomegranate>, Pomegranate
<block:harvestcraft:pamquinoacrop>, tile.pamquinoacrop.name
<block:harvestcraft:pamradishcrop>, tile.pamradishcrop.name
<block:harvestcraft:pamrambutan>, Rambutan
<block:harvestcraft:pamraspberrycrop>, tile.pamraspberrycrop.name
<block:harvestcraft:pamrhubarbcrop>, tile.pamrhubarbcrop.name
<block:harvestcraft:pamricecrop>, tile.pamricecrop.name
<block:harvestcraft:pamrutabagacrop>, tile.pamrutabagacrop.name
<block:harvestcraft:pamryecrop>, tile.pamryecrop.name
<block:harvestcraft:pamscallioncrop>, tile.pamscallioncrop.name
<block:harvestcraft:pamseaweedcrop>, tile.pamseaweedcrop.name
<block:harvestcraft:pamsesameseedscrop>, tile.pamsesameseedscrop.name
<block:harvestcraft:pamsisalcrop>, tile.pamsisalcrop.name
<block:harvestcraft:pamsoursop>, Soursop
<block:harvestcraft:pamsoybeancrop>, tile.pamsoybeancrop.name
<block:harvestcraft:pamspiceleafcrop>, tile.pamspiceleafcrop.name
<block:harvestcraft:pamspiderweb>, Spider Web
<block:harvestcraft:pamspinachcrop>, tile.pamspinachcrop.name
<block:harvestcraft:pamstarfruit>, Starfruit
<block:harvestcraft:pamstrawberrycrop>, tile.pamstrawberrycrop.name
<block:harvestcraft:pamsweetpotatocrop>, tile.pamsweetpotatocrop.name
<block:harvestcraft:pamtamarind>, Tamarind
<block:harvestcraft:pamtarocrop>, tile.pamtarocrop.name
<block:harvestcraft:pamtealeafcrop>, tile.pamtealeafcrop.name
<block:harvestcraft:pamtomatillocrop>, tile.pamtomatillocrop.name
<block:harvestcraft:pamtomatocrop>, tile.pamtomatocrop.name
<block:harvestcraft:pamturnipcrop>, tile.pamturnipcrop.name
<block:harvestcraft:pamvanillabean>, Vanilla Bean
<block:harvestcraft:pamwalnut>, Walnut
<block:harvestcraft:pamwaterchestnutcrop>, tile.pamwaterchestnutcrop.name
<block:harvestcraft:pamwhitemushroomcrop>, tile.pamwhitemushroomcrop.name
<block:harvestcraft:pamwintersquashcrop>, tile.pamwintersquashcrop.name
<block:harvestcraft:pamzucchinicrop>, tile.pamzucchinicrop.name
<block:harvestcraft:papaya_sapling>, Papaya Sapling
<block:harvestcraft:paperbark_sapling>, Paperbark Sapling
<block:harvestcraft:passionfruit_sapling>, Passion Fruit Sapling
<block:harvestcraft:pavlovacake>, Pavlova
<block:harvestcraft:pawpaw_sapling>, Pawpaw Sapling
<block:harvestcraft:peach_sapling>, Peach Sapling
<block:harvestcraft:pear_sapling>, Pear Sapling
<block:harvestcraft:pecan_sapling>, Pecan Sapling
<block:harvestcraft:peppercorn_sapling>, Peppercorn Sapling
<block:harvestcraft:persimmon_sapling>, Persimmon Sapling
<block:harvestcraft:pineappleupsidedowncake>, Pineapple Upside Down Cake
<block:harvestcraft:pistachio_sapling>, Pistachio Sapling
<block:harvestcraft:plum_sapling>, Plum Sapling
<block:harvestcraft:pomegranate_sapling>, Pomegranate Sapling
<block:harvestcraft:pressedwax>, Pressed Wax Block
<block:harvestcraft:presser>, Presser
<block:harvestcraft:pumpkincheesecake>, Pumpkin Cheese Cake
<block:harvestcraft:rambutan_sapling>, Rambutan Sapling
<block:harvestcraft:redvelvetcake>, Red Velvet Cake
<block:harvestcraft:shadedgarden>, Shaded Garden
<block:harvestcraft:shippingbin>, Shipping Bin
<block:harvestcraft:soggygarden>, Soggy Garden
<block:harvestcraft:soursop_sapling>, Soursop Sapling
<block:harvestcraft:spiderweb_sapling>, Spider Web Sapling
<block:harvestcraft:starfruit_sapling>, Starfruit Sapling
<block:harvestcraft:tamarind_sapling>, Tamarind Sapling
<block:harvestcraft:tropicalgarden>, Tropical Garden
<block:harvestcraft:vanillabean_sapling>, Vanilla Sapling
<block:harvestcraft:walnut_sapling>, Walnut Sapling
<block:harvestcraft:waterfilter>, Water Filter
<block:harvestcraft:watertrap>, Water Trap
<block:harvestcraft:waxcomb>, Waxcomb Block
<block:harvestcraft:well>, Well
<block:harvestcraft:windygarden>, Windy Garden
<block:hopperducts:gratedhopper>, Grated Hopper
<block:hopperducts:hopperduct>, Hopper Duct
<block:ichunutil:compact_porkchop>, Compact Raw Porkchop
<block:immersiveengineering:aluminum_scaffolding_stairs0>, Aluminium Scaffolding Stairs
<block:immersiveengineering:aluminum_scaffolding_stairs1>, Aluminium Scaffolding Stairs
<block:immersiveengineering:aluminum_scaffolding_stairs2>, Aluminium Scaffolding Stairs
<block:immersiveengineering:cloth_device>, tile.immersiveengineering.cloth_device.name
<block:immersiveengineering:connector>, tile.immersiveengineering.connector.name
<block:immersiveengineering:conveyor>, tile.immersiveengineering.conveyor.name
<block:immersiveengineering:fake_light>, tile.immersiveengineering.fake_light.name
<block:immersiveengineering:fluidbiodiesel>, Biodiesel
<block:immersiveengineering:fluidconcrete>, Liquid Concrete
<block:immersiveengineering:fluidcreosote>, Creosote Oil
<block:immersiveengineering:fluidethanol>, Ethanol
<block:immersiveengineering:fluidplantoil>, Plant Oil
<block:immersiveengineering:hemp>, Industrial Hemp
<block:immersiveengineering:metal_decoration0>, tile.immersiveengineering.metal_decoration0.name
<block:immersiveengineering:metal_decoration1>, tile.immersiveengineering.metal_decoration1.name
<block:immersiveengineering:metal_decoration1_slab>, tile.immersiveengineering.metal_decoration1_slab.name
<block:immersiveengineering:metal_decoration2>, tile.immersiveengineering.metal_decoration2.name
<block:immersiveengineering:metal_device0>, tile.immersiveengineering.metal_device0.name
<block:immersiveengineering:metal_device1>, tile.immersiveengineering.metal_device1.name
<block:immersiveengineering:metal_ladder>, tile.immersiveengineering.metal_ladder.name
<block:immersiveengineering:metal_multiblock>, tile.immersiveengineering.metal_multiblock.name
<block:immersiveengineering:molten_constantan>, Molten Constantan
<block:immersiveengineering:molten_uranium>, Molten Uranium
<block:immersiveengineering:ore>, tile.immersiveengineering.ore.name
<block:immersiveengineering:sheetmetal>, tile.immersiveengineering.sheetmetal.name
<block:immersiveengineering:sheetmetal_slab>, tile.immersiveengineering.sheetmetal_slab.name
<block:immersiveengineering:steel_scaffolding_stairs0>, Steel Scaffolding Stairs
<block:immersiveengineering:steel_scaffolding_stairs1>, Steel Scaffolding Stairs
<block:immersiveengineering:steel_scaffolding_stairs2>, Steel Scaffolding Stairs
<block:immersiveengineering:stone_decoration>, tile.immersiveengineering.stone_decoration.name
<block:immersiveengineering:stone_decoration_slab>, tile.immersiveengineering.stone_decoration_slab.name
<block:immersiveengineering:stone_decoration_stairs_concrete>, Concrete Stairs
<block:immersiveengineering:stone_decoration_stairs_concrete_leaded>, Leaded Concrete Stairs
